id;numero;caja;estado;iva_19;base_iva_19;iva_5;base_iva_5;iva_0;base_iva_0;total;pago;saldo;fecha_registro;fecha_actualizacion
1;7251;SAS red Partida;40845;81630;26606;50382;38346;87056;38049;39532;23235;82912;2022-01-01T23:36:16;2022-01-02T01:39:37
2;59023;Uganda Estratega Plástico;29537;9552;48457;6064;9598;81484;27074;74458;69968;10180;2022-01-01T14:39:02;2022-01-01T09:08:06
3;50100;Account back-end schemas;23223;60516;51026;53504;90587;23770;57635;36214;97159;92271;2022-01-01T12:12:53;2022-01-01T16:43:01
4;16602;Hormigon SMTP;16726;49744;17112;98012;99658;11716;22553;31826;43873;18793;2022-01-02T02:29:27;2022-01-02T01:31:56
5;53446;optical;66760;18256;58198;14090;43521;93810;1781;10773;74746;94472;2022-01-01T14:07:14;2022-01-01T22:15:04
6;23147;world-class;30768;28151;28423;66691;38156;2178;33786;81811;58616;93343;2022-01-01T13:49:06;2022-01-01T20:41:47
7;55298;interface Baht Navarra;99405;69025;39642;66202;91097;4066;6075;40921;39050;36691;2022-01-01T08:46:00;2022-01-01T10:08:07
8;73453;algoritmo experiences Colonia;75311;18713;23008;31793;27116;42534;30022;5437;66170;23095;2022-01-01T18:09:50;2022-01-01T05:04:49
9;63672;ejecutiva Dinánmico;38147;29297;94371;70289;98494;6286;96368;71197;89070;90962;2022-01-01T11:16:45;2022-01-01T07:23:57
10;32085;deposit;24999;58522;25424;28582;64408;41751;89384;29271;25596;52986;2022-01-02T01:30:55;2022-01-01T23:29:10
