id;nombre;valor;fecha_registro
1;index Somoni Paseo;69427;2022-01-01T13:48:31
2;no-volátil IB;22721;2022-01-02T02:38:06
3;Canarias navigate;96120;2022-01-01T13:34:16
4;Account invoice Raton;64010;2022-01-01T08:02:16
5;Pizza datos extend;84661;2022-01-01T04:50:52
6;Escalinata frictionless Hormigon;51522;2022-01-02T01:55:58
7;quantifying;96642;2022-01-01T12:26:52
8;Glorieta Investigación;93332;2022-01-01T11:49:59
9;connecting;52648;2022-01-01T16:26:51
10;Bebes Account deposit;5287;2022-01-01T07:18:20
