id;nombre;cantidad;codigo_dian;detalle_objeto;vencimiento;fecha_registro
1;feed;57667;Progresivo;65652;2022-01-01T20:58:29;2022-01-01T05:27:02
2;Account payment Gorro;15141;Account array Cuban;45157;2022-01-01T12:00:41;2022-01-01T06:32:49
3;productize;75852;Account;89909;2022-01-02T01:30:11;2022-01-01T17:56:13
4;Gorro Timor-Leste invoice;57099;Interno;39663;2022-01-01T10:18:17;2022-01-01T09:07:19
5;Avon bidireccional bypass;16546;maximize alarm;33030;2022-01-01T17:13:39;2022-01-01T07:48:35
6;connect;83093;Guapo;97312;2022-01-02T00:56:31;2022-01-01T15:45:05
7;Interacciones;44545;Soluciones Account;42192;2022-01-01T08:13:08;2022-01-01T12:24:39
8;Artesanal Metal;49167;Práctico virtual;52882;2022-01-01T20:34:57;2022-01-02T03:10:32
9;connecting Cataluña;22486;Ladrillo copy;6263;2022-01-01T18:26:37;2022-01-01T21:38:14
10;up Somoni;98778;XSS;88351;2022-01-02T00:58:41;2022-01-01T06:15:52
