id;tipo_regimen;nombre_regimen;fecha_registro
1;Centralizado wireless;Negro Plástico Ghana;users state
2;end-to-end;calculating Inversor fuerza;Rojo Avon desafío
3;Murcia maximize SQL;Marketing República;Productor Ensalada
4;Rupee Genérico Metal;Plástico flexibilidad;política Planificador whiteboard
5;Blanco coherente;International;Somoni Arroyo Mercado
6;Decoración Buckinghamshire;generate bandwidth;Videojuegos Home
7;connecting Librería;Identidad payment Algodón;potenciada
8;Reducido;Identidad;Manzana mindshare bluetooth
9;benchmark fritas;Canarias Madera Diseñador;open-source revolutionary
10;Amarillo;connect;optical Negro
