id;nombre;valor;fecha_registro
1;navigate empower Caserio;8034;2022-01-01T14:18:48
2;Librería Borders;27993;2022-01-02T02:58:45
3;Violeta solid Configurable;67902;2022-01-01T09:45:47
4;Loan Refinado Ladrillo;17806;2022-01-01T20:36:27
5;real-time;29618;2022-01-01T08:50:56
6;Gerente Mancha Factores;39474;2022-01-01T10:41:44
7;Bebes brand interfaces;48376;2022-01-02T01:50:55
8;fritas Reducido;77301;2022-01-02T03:48:04
9;visualize 1080p;47688;2022-01-01T08:08:04
10;Videojuegos;11262;2022-01-01T17:10:04
