id;nombre;fecha_registro;codigo_dian
1;Bicicleta Buckinghamshire Automatizado;modelo;magnetic
2;out-of-the-box bypass Supervisor;EXE Extremadura Atún;Nacional
3;Papelería Mejorado Paradigma;PCI;THX
4;previsión Informática incremental;CSS Videojuegos;Regional
5;Markets Rústico customized;solutions Negro;Acero Pequeño
6;Jefe optical;coherente Interno;Mercados deposit
7;mission-critical Navarra;redundant Ghana;payment quantifying
8;Bermuda;Artesanal;hacking Berkshire
9;fritas bluetooth Monte;Brazilian Zapatos;Loan Silla Bedfordshire
10;1080p;compressing;SDR transmitter primary
